text,ipa
intent,ˌɪnˈtɛnt
interface,ˈɪntərˌfeɪs
internet,ˈɪntərˌnɛt
interpreter,ˌɪnˈtərprətər
interrupt,ˌɪntərˈəpt
intrusion,ˌɪnˈtruʒən
ios,ˈioʊs
ip,ˌaɪˌpi
jenkins,ˈʤɛŋkɪnz
jest,ʤɛst
join,ʤɔɪn
kernel,ˈkɜrnəl
key,ki
lan,læn
laptop,ˈlæpˌtɑp
latency,ˈleɪtənsi
layer,leɪər
left,lɛft
limit,ˈlɪmət
line,laɪn
link,lɪŋk
linked,lɪŋkt
list,lɪst
load,loʊd
load balancer,loʊd ˈbælənsər
logging,ˈlɔgɪŋ
loop,luːp
mac,mæk
machine code,məˈʃin koʊd
machine learning,məˈʃin ˈlərnɪŋ
mail,meɪl
malware,ˈmælˌwɛr
management,ˈmænɪʤmənt
markup,ˈmɑrˌkəp
mask,mæsk
max,mæks
memory,ˈmɛməri
merge,mərʤ
milestone,ˈmaɪlˌstoʊn
min,mɪn
mock,mɑk
mode,moʊd
model,ˈmɑdəl
monitoring,ˈmɑnətərɪŋ
monolith,ˈmɑnəˌlɪθ
multi,ˈməlti
multiuser,ˈməltiˌjuzər
name,neɪm
network,ˈnɛtwɜrk
neural,ˈnʊrəl
normalization,ˌnɔrməlɪˈzeɪʃən
not,nɑt
on,ɔn
orchestration,ˌɔrkəˈstreɪʃən
order,ˈɔrdər
out,aʊt
outer,ˈaʊtər
over,ˈoʊvər
paging,ˈpeɪʤɪŋ
parser,ˈpɑrsər
password,ˈpæsˌwərd
patch,pæʧ
payload,ˈpeɪˌloʊd
penetration,ˌpɛnəˈtreɪʃən
peripheral,pərˈɪfərəl
phishing,ˈfɪʃɪŋ
phone,foʊn
ping,pɪŋ
pipeline,ˈpaɪˌplaɪn
point,pɔɪnt
pointer,ˈpɔɪntər
policy,ˈpɑləsi
polymorphism,ˌpɑˌliˈmɔrfɪzm
port,pɔrt
power,paʊər
primary,ˈpraɪˌmɛri
printer,ˈprɪntər
private,ˈpraɪvət
procedure,prəˈsiʤər
process,ˈprɑˌsɛs
processor,ˈprɑˌsɛsər
promise,ˈprɑməs
prompt,prɑmpt
protocol,ˈproʊtəˌkɔl
provisioning,prəˈvɪʒənɪŋ
proxy,ˈprɑksi
public,ˈpəblɪk
pull,pʊl
push,pʊʃ
query,ˈkwɪri
queue,kjuː
ram,ræm
range,reɪnʤ
register,ˈrɛʤɪstər
registry,ˈrɛʤɪstri
regression,rəˈgrɛʃən
remote,rɪˈmoʊt
replication,ˌrɛplɪˈkeɪʃən
repository,riˈpɑzəˌtɔri
request,rɪˈkwɛst
requirement,rɪkˈwaɪrmənt
resource,ˈrisɔrs
response,rɪˈspɑns
responsive,rɪˈspɑnsɪv
rest,rɛst
retransmission,ˌritrænzˈmɪʃən
right,raɪt
rip,rɪp
role,roʊl
rollback,ˈroʊlˌbæk
root,rut
router,ˈruːtər
routing,ˈrutɪŋ
runtime,ˈrʌnˌtaɪm
save,seɪv
scaling,ˈskeɪlɪŋ
scheduler,ˈskɛʤʊlər
schema,ˈskimə
script,skrɪpt
secure,sɪˈkjʊr
select,səˈlɛkt
selenium,səˈliniəm
serial,ˈsɪˌriəl
server,ˈsɜrvər
service,ˈsɜrvɪs
session,ˈsɛʃən
shell,ʃɛl
simple,ˈsɪmpəl
simulator,ˈsɪmjəˌleɪtər
single,ˈsɪŋgəl
singleton,ˈsɪŋgəltən
sms,ˌɛˌsɛˈmɛs
soap,soʊp
socket,ˈsɑkɪt
sockets,ˈsɑkəts
sort,sɔrt
specification,ˌspɛsɪfɪˈkeɪʃən
speed,spid
splitter,ˈsplɪtər
sponsor,ˈspɑnsər
sprint,sprɪnt
spy,spaɪ
stack,stæk
start,stɑrt
static,ˈstætɪk
status,ˈstætəs
storage,ˈstɔrɪʤ
stored,stɔrd
stub,stəb
sum,səm
support,səˈpɔrt
swift,swɪft
switch,swɪʧ
syntax,ˈsɪnˌtæks
table,ˈteɪbəl
testing,ˈtɛstɪŋ
thread,θrɛd
timeout,ˈtaɪˌmaʊt
to,tɪ
token,ˈtoʊkən
training,ˈtreɪnɪŋ
transaction,trænˈzækʃən
transfer,ˈtrænsfər
transformer,trænsˈfɔrmər
transmission,trænzˈmɪʃən
tree,tri
trigger,ˈtrɪgər
union,ˈjunjən
unique,juˈnik
unit,ˈjunɪt
update,ˈəpˌdeɪt
user,ˈjuzər
variable,ˈvɛriəbəl
version control,ˈvərʒən kənˈtroʊl
view,vju
virtual,ˈvərʧuəl
vulnerability,ˌvəlnərəˈbɪlɪti
web,wɛb
where,wɛr
wired,waɪərd
wireless,ˈwaɪrlɪs
xml,ˌɛkˌsɛˈmɛl
git,ɡɪt
sql,ˌɛsˌkjuːˈɛl
github,ˈɡɪtˌhʌb
acl,ˌə s.iː .ɛˈl
adc,ˌə d.iː sˈiː
ansible,ˈænsəbəl
anti-virus,ˌæntiːvˈaɪrəs
antivirus,ˌæntɪvˈɪrəs
api,ˌeɪ.piːˈaɪ
apk,ˌə p.iː kˈeɪ
async,ˈeɪsɪŋ
autocorrect,ˈɔtoʊkrətɪk
avg,ˌə v.iː dʒˈiː
aws,ˌə d.əbəlju .ɛˈs
backpropagation,bˌækprəɡpˈeɪʃən
bcp,ˌb.iː s.iː pˈiː
bff,ˌb.iː .ɛf .ɛˈf
bfs,ˌb.iː .ɛf .ɛˈs
bgp,ˌb.iː dʒ.iː pˈiː
bitrate,baɪtrˈeɪt
bluetooh,blˈutˌu
bootloader,bˈutlˌoʊdər
bytecode,bˈaɪtˌɛktoʊd
callback,kˈɔlbˌæk
cdn,ˌs.iː d.iː .ɛˈn
checksum,tʃˈɛksəm
cherry-pick,tʃˈɛriːpˌɪk
chipset,tʃˈɪpst
ci/cd,sˈɪkt
ciphertext,sˈɪpərtˌɛkst
cli,ˌs.iː .ɛl ˈaɪ
config,kˈɑnfɪɡ
cpu,ˌs.iː p.iː jˈu
cqrs,kˈərs
crashlytics,krælskˈaɪtɪks
crc,ˌs.iː .ɑr sˈiː
crl,ˌs.iː .ɑr .ɛˈl
cross-subsidization,krˌɑsəbsəɡˈeɪʃənd
cryptanalysis,krˌɪptənˈæləsəs
crytographic,krˌaɪtəɡrˈæfɪk
csrf,kˈərsf
css,ˌs.iː .ɛs .ɛˈs
csv,ˌs.iː .ɛs vˈiː
cybersecurity,sˌaɪbərkəsˈərtiːə
datagram,dˈeɪtəɡrˌæm
dce,ˌd.iː s.iː ˈiː
ddos,dˈɑs
debugger,dˈɛbjuɡər
decryption,dɪkrˈɪpʃən
dfs,ˌd.iː .ɛf .ɛˈs
dhcp,dˈəkp
django,dʒˈɑŋɡoʊ
dll,ˌd.iː .ɛl .ɛˈl
dn,ˌd.iː .ɛˈn
dns,ˌd.iː .ɛn .ɛˈs
dockerfile,dˈɑkərfˌɪl
drp,ˌd.iː .ɑr pˈiː
dte,ˌd.iː t.iː ˈiː
embedding,ɛmbˈɛdɪŋ
emulator,ˈɛmjəlˌeɪtər
encapsulation,ɛnkˌæpsəlˈeɪʃən
etl,ˌiː t.iː .ɛˈl
event-driven,ˈɛvəndrˌɪtən
executable,ˌɛksəkjˈutəbəl
fcm,ˌɛf s.iː .ɛˈm
filesystem,fˈaɪlsˌɪstəm
firestore,fˈaɪrstˌɔr
firmware,fˈərmwˌɛr
flip-flop,flˈɪfplɔf
fpga,pˈiːɡˈeɪ
frontend,frˈɑntənd
ftp,ˌɛf t.iː pˈiː
gigabitethernet,ɡˈɪɡənətˌɔrtɪn
git,ˌdʒ.iː .aɪ tˈiː
git init,dʒˈɪt ˈɪnɪt
github,ɡˈɪθəb
gpio,ɡˈoʊiːoʊ
gpu,ˌdʒ.iː p.iː jˈu
gradle,ɡrˈeɪdəl
graphql,ɡrˈæfkəl
gui,ˌdʒ.iː j.u ˈaɪ
healthcheck,hˈɛlθkˌɛk
heatsink,hˈiːtsɪŋk
homepage,hˈoʊmpˌeɪdʒ
hostname,hˈɑstnəm
html,tˈəməl
http,ˌeɪtʃ t.iː t.iː pˈiː
http/s,tˈæpts
https,tˈæpts
i2c,ˌaɪ t.u sˈiː
iam,ˌaɪ ə .ɛˈm
icmp,ˈɪkmp
ifnull,ˈɪŋfəl
inbox,ˈɪnbˌɑks
inout,ˈaɪnaʊt
insertone,ˈɪnsərtˌoʊn
interoperability,ˌɪntərəpərbˈɪlətiː
iot,ˌaɪ .oʊ tˈiː
ipa,ˌaɪ p.iː ˈə
ipsec,ˈɪpsˌɛk
iso,ˌaɪ .ɛs ˈoʊ
iterable,ˈaɪtərəbəl
itil,ˈaɪtəl
json,sˈɑn
jwt,ˌdʒ.eɪ d.əbəlju tˈiː
kanban,kˈænbən
key-value,kˈiːvəlˌu
kml,ˌk.eɪ .ɛm .ɛˈl
kotlin,kˈɑtlɪn
kubernetes,kəbˈərnəts
lexer,lˈɛksər
llm,ˌɛl .ɛl .ɛˈm
login,lˈoʊɡɪn
logout,lˈoʊɡˌaʊt
lorawan,lˈɔrəwˌɑn
maintainability,mˌeɪntənˈɪtbɪdiː
mbps,bˈæps
meraki,mˈɛrəkiː
microcontroller,mˌaɪkroʊkˈɑntrəklər
microservices,mˌaɪkroʊsˈɛrɪsɪs
middleware,mˈɪdəlwˌɛr
miliseconds,mˈɪlɪsˌɛksəndz
mongodb,mˈɑŋɡəd
motherboard,mˈəθərbˌɔrd
mqtt,mkˈæts
multiplexing,mˈəltəplˌɛksɪŋ
mutex,mjˈutˌɛks
mvc,ˌɛm v.iː sˈiː
mvvm,vˈæmvəm
mysql,mˈɪskəl
nlp,ˌɛn .ɛl pˈiː
node.js,nˈoʊdiːz
nosql,nˈɑsklə
octal,ˈɑktəl
orm,ˌoʊ .ɑr .ɛˈm
ospf,ˈɑspf
outbox,ˈaʊtbˌɑks
overfitting,ˈoʊvərfˌɪtɪŋ
pentesting,pˈɛntɪstɪŋ
perceptron,pˈərstɑprənt
pgvector,fˈɛvtkˌɔr
phablet,fˈæblət
poofing,pˈufɪŋ
postgresql,pəstɡrˈɛstəɡ
postgrest,pˈɑstɡrɛst
pr,ˌp.iː .ɑˈr
pub/sub,pˈəbsəb
pwm,ˌp.iː d.əbəlju .ɛˈm
ransomware,rˈænsəwˌɑm
rebase,rɪbˈeɪs
recursion,rɪkˈərʒən
redis,rˈiːdɪs
refactoring,riːfˈæktərɪŋ
rls,ˌɑr .ɛl .ɛˈs
rtos,rˈoʊts
scalability,skəlˈæsəbəliː
screenshot,skrˈiːnʃət
scrum,skrˈəm
semaphore,sˈɛməfər
serverless,sˈərvərləs
sharding,ʃˈɑrdɪŋ
sla,ˌɛs .ɛl ˈə
slo,ˌɛs .ɛl ˈoʊ
smartphone,smˈɑrtfˌoʊn
smartwatch,smˈɑrtwˌɑtʃ
smtp,stˈəpt
snmp,snˈæmp
spellcheck,spˈɛltʃɛk
spi,ˌɛs p.iː ˈaɪ
spml,spˈɛlm
sql,ˌɛs kj.u .ɛˈl
ssd,ˌɛs .ɛs dˈiː
ssh,ˌɛs .ɛs .eɪˈtʃ
ssl,ˌɛs .ɛs .ɛˈl
ssr,ˌɛs .ɛs .ɑˈr
stp,ˌɛs t.iː pˈiː
subnet,sˈəbnɪt
subnetting,sˈəbnɪtfˌɪdʒ
tco,ˌt.iː s.iː ˈoʊ
tdd,ˌt.iː d.iː dˈiː
telnet,tˈɛlnət
tensor,tˈɛnsər
terraform,tˈɛrəfˌɔrm
tokenizer,tˈoʊkənˌaɪzər
touchscreen,tukskrˈeɪn
traversal,trəvˈərsəl
typescript,tˈaɪspˌɪktrˌəp
udp,ˌj.u d.iː pˈiː
uefi,jˈufiː
underfitting,ˈəndərfˌɪtɪŋ
url,ˌj.u .ɑr .ɛˈl
usb,ˌj.u .ɛs bˈiː
username,jˈusərnˌeɪm
vhdl,ˌv.iː .eɪtʃ d.iː .ɛˈl
virtualization,vˌərtəʃəwˈɪlənəs
vlan,ˌv.iː .ɛl ə .ɛˈn
voip,vˈɔɪp
vpn,ˌv.iː p.iː .ɛˈn
vue.js,vjˈuz
webcam,wˈɛbkˌæm
xss,ˌɛks .ɛs .ɛˈs
yaml,jˈæməl
access network,ˈækˌsɛs ˈnɛtˌwərk
aggregate,ˈægrəgət
alignment,əˈlaɪnmənt
analog,ˈænəˌlɔg
angular,ˈæŋgjələr
app,æp
app check,æp ʧɛk
application,ˌæpləˈkeɪʃən
application / app,ˌæpləˈkeɪʃən  æp
approval,əˈpruvəl
argument,ˈɑrgjəmənt
arp,ɑrp
array,əreɪ
artificial intelligence,ˌɑrtəˈfɪʃəl ˌɪnˈtɛləʤəns
auth,ɔθ
azure,ˈæʒər
backbone,ˈbækˌboʊn
backend,ˌbæˈkɛnd
bandwidth,ˈbændwɪdθ
battery,ˈbætəri
big data,bɪg ˈdætə
big o,bɪg oʊ
binary,ˈbaɪnəˌri
binary code,ˈbaɪnəˌri koʊd
binary tree,ˈbaɪnəˌri tri
bluetooth,ˈbluˌtuθ
bold,boʊld
bookmark,ˈbʊkmɑrk
boot up,but əp
bottleneck,ˈbɑtəlˌnɛk
box,bɑks
bug,bəg
bundling,ˈbəndəlɪŋ
cache,kæˈʃeɪ
camel case,ˈkæməl keɪs
camera,ˈkæmərə
carrier,ˈkɛriər
change management,ʧeɪnʤ ˈmænɪʤmənt
char,ʧɑr
charger,ˈʧɑrʤər
circuit switching,ˈsərkət sˈwɪʧɪŋ
class,klæs
clickbait,ˈklɪkˌbeɪt
client,klaɪənt
clipboard,ˈklɪpˌbɔrd
clone,kloʊn
cloud,klaʊd
cloud computing,klaʊd kəmˈpjutɪŋ
cloud functions,klaʊd ˈfəŋkʃənz
cluster,ˈkləstər
clustering,ˈkləstərɪŋ
code,koʊd
code reviews,koʊd rəvˈjuz
collocation,kɑləˈkeɪʃən
computer vision,kəmˈpjutər ˈvɪʒən
conditional statements,kənˈdɪʃənəl ˈsteɪtmənts
connection pool,kəˈnɛkʃən pul
constant,ˈkɑnstənt
cooper,ˈkupər
cost model,kɔst ˈmɑdəl
covert,ˈkoʊvərt
crud,krəd
current,ˈkɑrənt
cut and paste,kət ənd peɪst
data transmission,ˈdætə trænzˈmɪʃən
database,ˈdætəˌbeɪs
database management system,ˈdætəˌbeɪs ˈmænɪʤmənt ˈsɪstəm
dependency injection,dɪˈpɛndənsi ˌɪnˈʤɛkʃən
design patterns,dɪˈzaɪn ˈpætərnz
digital,ˈdɪʤɪtəl
discoverable,dɪˈskəvərəbəl
docker,ˈdɑkər
docking station,ˈdɑkɪŋ ˈsteɪʃən
dom,dɑm
domain name,doʊˈmeɪn neɪm
dot com,dɑt kɑm
download,ˈdaʊnˌloʊd
draft,dræft
drag,dræg
drag and drop,dræg ənd drɔp
edge functions,ɛʤ ˈfəŋkʃənz
else statements,ɛls ˈsteɪtmənts
encryption,ɛnˈkrɪpʃən
ethernet cable,ˈiθərˌnɛt ˈkeɪbəl
event,ɪˈvɛnt
event sourcing,ɪˈvɛnt ˈsɔrsɪŋ
express,ɪkˈsprɛs
expression,ɪkˈsprɛʃən
external hard drive,ɪkˈstərnəl hɑrd draɪv
fiber optics,ˈfaɪbər ˈɑptɪks
file,faɪl
file transfer,faɪl ˈtrænsfər
find,faɪnd
firewall,ˈfaɪrwɑl
folder,ˈfoʊldər
font,fɑnt
footer,ˈfʊtər
for loop,fər lup
foreign data wrappers,ˈfɔrən ˈdætə ˈræpərz
fork,fɔrk
form,fɔrm
format,ˈfɔrˌmæt
framework,ˈfreɪmˌwərk
full,fʊl
function,ˈfəŋkʃən
gateway,ˈgeɪtˌweɪ
gps,ˈgipiˈɛs
group by,grup baɪ
hacker,ˈhækər
hand over,hænd ˈoʊvər
hard disk,hɑrd dɪsk
hard drive,hɑrd draɪv
hardware,ˈhɑrdˌwɛr
header,ˈhɛdər
headphones,ˈhɛdˌfoʊnz
hexagonal architecture,hɛkˈsægənəl ˈɑrkəˌtɛkʧər
home screen,hoʊm skrin
hosting,ˈhoʊstɪŋ
hyperlink,ˈhaɪpərlɪŋk
if statement,ɪf ˈsteɪtmənt
incident management,ˈɪnsədənt ˈmænɪʤmənt
integrated development environment (ide),ˈɪnəˌgreɪtɪd dɪˈvɛləpmənt ɪnˈvaɪrənmənt (aɪd)
interconnection,ˌɪntərkəˈnɛkʃən
interconnection point,ˌɪntərkəˈnɛkʃən pɔɪnt
interface,ˈɪnərˌfeɪs
internet protocol,ˈɪntərˌnɛt ˈproʊtəˌkɔl
internet service provider,ˈɪntərˌnɛt ˈsərvɪs prəˈvaɪdər
ip address,ˌaɪˌpi ˈæˌdrɛs
it,ɪt
iteration,ˌɪtəˈreɪʃən
java,ˈʤɑvə
javascript,ˈʤɑvəˌskrɪpt
kernel,ˈkərnəl
keyboard,ˈkiˌbɔrd
keyword,ˈkiˌwərd
lag,læg
leased lines,list laɪnz
local loop,ˈloʊkəl lup
locator,ˈloʊˌkeɪtər
lock screen,lɑk skrin
logic,ˈlɑʤɪk
logic gates,ˈlɑʤɪk geɪts
loop,lup
margin,ˈmɑrʤən
markup language,ˈmɑrˌkəp ˈlæŋgwɪʤ
match,mæʧ
microphone,ˈmaɪkrəˌfoʊn
mobile data,ˈmoʊbəl ˈdætə
modem,ˈmoʊdəm
monitor,ˈmɑnətər
moscow,ˈmɔˌskaʊ
mouse,maʊs
multiplexer,ˈməltiˌplɛksər
nat,næt
nested,ˈnɛstɪd
network,ˈnɛtˌwərk
network node,ˈnɛtˌwərk noʊd
neural networks,ˈnʊrəl ˈnɛtˌwərks
notification,ˌnoʊtəfəˈkeɪʃən
numbered list,ˈnəmbərd lɪst
open source,ˈoʊpən sɔrs
operating system,ˈɔpərˌeɪtɪŋ ˈsɪstəm
operator,ˈɑpərˌeɪtər
originating access,ərˈɪʤəˌneɪtɪŋ ˈækˌsɛs
os,ɑs
packet switching,ˈpækɪt sˈwɪʧɪŋ
page break,peɪʤ breɪk
paragraph,ˈpɛrəˌgræf
parallel port,ˈpɛrəˌlɛl pɔrt
paste,peɪst
pat,pæt
pc,ˈpiˈsi
performance,pərˈfɔrməns
power cord,paʊər kɔrd
preferences,ˈprɛfərənsɪz
print,prɪnt
printer,ˈprɪnər
process,ˈprɔˌsɛs
program,ˈproʊˌgræm
pull request,pʊl rɪkˈwɛst
python,ˈpaɪθɑn
query plan,kˈwiri plæn
queue,kju
react,riækt
realtime,ˈriəlˌtaɪm
reboot,riˈbut
refresh,rɪˈfrɛʃ
rejects,ˈriʤɛkts
reply to all,rɪˈplaɪ tɪ ɔl
request,rɪkˈwɛst
resolution,ˌrɛzəˈluʃən
retail services,ˈriˌteɪl ˈsərvɪsɪz
roll out,roʊl aʊt
router,ˈrutər
run,rən
sass,sæs
save as,seɪv ɛz
scanner,ˈskænər
search engine,sərʧ ˈɪnʤən
server,ˈsərvər
service,ˈsərvɪs
service mesh,ˈsərvɪs mɛʃ
set,sɛt
set up,sɛt əp
settings,ˈsɛtɪŋz
shortcut,ˈʃɔrtˌkət
shut down,ʃət daʊn
signaling,ˈsɪgnəlɪŋ
sim card,sɪm kɑrd
snapshot,sˈnæpˌʃɑt
sniffer,sˈnɪfər
social media,ˈsoʊʃəl ˈmidiə
software,ˈsɔfˌwɛr
software license,ˈsɔfˌwɛr ˈlaɪsəns
sorting algorithms,ˈsɔrtɪŋ ˈælgərˌɪðəmz
source code,sɔrs koʊd
spa,spɑ
space bar,speɪs bɑr
spam,spæm
speaker,ˈspikər
spectrum,ˈspɛktrəm
spreadsheet,ˈsprɛdˌʃit
spring boot,spərɪŋ but
standards,ˈstændərdz
stash,stæʃ
state machine,steɪt məˈʃin
surge protector,sərʤ prəˈtɛktər
swapping,sˈwɑpɪŋ
switching,sˈwɪʧɪŋ
table of contents,ˈteɪbəl əv ˈkɑntɛnts
tablet,ˈtæblət
telecommunications,ˌtɛləkəmˌjunəˈkeɪʃənz
template,ˈtɛmplət
terminating access,ˈtərməˌneɪtɪŋ ˈækˌsɛs
to attach,tɪ əˈtæʧ
to click,tɪ klɪk
to compose,tɪ kəmˈpoʊz
tool bar,tul bɑr
toolbar,ˈtulˌbɑr
tools,tulz
track changes,træk ˈʧeɪnʤɪz
transit service,ˈtrænzɪt ˈsərvɪs
triggers,ˈtrɪgərz
tv,ˌtɛləˈvɪʒən
type,taɪp
uart,juɑrt
unbundling,ənˈbəndlɪŋ
uniform,ˈjunəˌfɔrm
unit testing,ˈjunɪt ˈtɛstɪŋ
universal serial bus,ˌjunəˈvərsəl ˈsɪˌriəl bəs
universal service,ˌjunəˈvərsəl ˈsərvɪs
unzip,ənˈzɪp
upload,ˈəˌploʊd
upload files,ˈəˌploʊd faɪlz
user interface,ˈjuzər ˈɪnərˌfeɪs
user name,ˈjuzər neɪm
web page,wɛb peɪʤ
website,ˈwɛbˌsaɪt
while loop,waɪl lup
wholesale access,ˈhoʊlˌseɪl ˈækˌsɛs
wi-fi,ˈwaɪˌfaɪ
wi-fi hotspot,ˈwaɪˌfaɪ ˈhɑtˌspɑt
widget,ˈwɪʤɪt
windows mobile,ˈwɪndoʊz ˈmoʊbəl
word processor,wərd ˈprɑˌsɛsər
zero trust,ˈziroʊ trəst
zip,zɪp
